,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,grade
378,23.8160724708,12.2646411799,16.2794652502,21.3571428571,7.22073578595,90.0,1.0,0.0,41.0,45.0,13.0,28.0,7.0,22.0,127.0,173.0,124.0,2.0,14.0,seven
379,22.7809043448,12.6156559061,15.7652066165,17.45,7.73638968481,228.0,7.0,5.0,104.0,92.0,41.0,28.0,11.0,31.0,265.0,340.0,343.0,15.0,40.0,seven
380,24.5792343219,12.1632638634,16.4985607679,24.3902439024,6.897,299.0,9.0,8.0,143.0,172.0,27.0,65.0,17.0,65.0,407.0,574.0,410.0,16.0,41.0,seven
381,22.91654274,11.7141434021,15.7020230983,19.75,7.78481012658,144.0,14.0,4.0,123.0,111.0,29.0,32.0,2.0,17.0,295.0,297.0,315.0,20.0,32.0,seven
382,22.4249341629,11.2860980252,15.7962806737,13.8235294118,6.06808510638,41.0,4.0,3.0,48.0,40.0,3.0,20.0,5.0,14.0,111.0,155.0,80.0,0.0,17.0,seven
383,23.8981586247,11.6469104525,15.9672884993,18.1875,7.2439862543,130.0,15.0,6.0,103.0,110.0,15.0,34.0,12.0,52.0,262.0,318.0,248.0,16.0,32.0,seven
384,24.645597283,12.0395762145,16.513354434,22.2110091743,7.07724080958,640.0,55.0,9.0,365.0,394.0,68.0,190.0,21.0,237.0,1017.0,1419.0,966.0,36.0,109.0,seven
385,23.1730198424,12.4868987194,15.981550459,39.5531914894,7.76008606778,508.0,54.0,25.0,360.0,213.0,94.0,78.0,32.0,44.0,745.0,860.0,934.0,65.0,47.0,five
386,23.9283342644,11.9423457587,15.9370346887,21.0652173913,7.22187822497,246.0,13.0,2.0,169.0,179.0,32.0,68.0,12.0,62.0,448.0,511.0,438.0,20.0,46.0,five
387,22.9484987466,11.9719994749,16.1096005677,22.3863636364,7.10152284264,227.0,41.0,5.0,168.0,162.0,32.0,75.0,10.0,64.0,437.0,556.0,418.0,11.0,44.0,five
388,25.0507297768,12.2171483836,16.5716552189,16.5,6.98287220026,206.0,11.0,2.0,109.0,138.0,22.0,47.0,10.0,76.0,316.0,453.0,302.0,4.0,46.0,five
389,24.3069758223,11.6839236949,16.1796537112,18.2727272727,7.16915422886,219.0,14.0,3.0,118.0,135.0,22.0,41.0,3.0,74.0,316.0,465.0,330.0,9.0,44.0,five
390,23.6438447619,11.9659487226,16.3474814842,19.9487179487,7.13367609254,171.0,26.0,9.0,143.0,131.0,25.0,60.0,8.0,53.0,359.0,410.0,361.0,7.0,39.0,five
391,23.0418626316,11.8727047465,15.916197403,24.5,7.20945220193,242.0,19.0,3.0,137.0,167.0,43.0,71.0,3.0,72.0,418.0,541.0,364.0,26.0,38.0,five
392,23.1503431809,11.3609003604,15.9448306193,17.6333333333,7.03906742281,343.0,34.0,3.0,295.0,373.0,35.0,116.0,9.0,70.0,819.0,902.0,664.0,21.0,90.0,five
393,24.3300335027,11.9019352628,16.445609604,21.4444444444,7.11917098446,190.0,8.0,6.0,99.0,153.0,25.0,62.0,13.0,61.0,339.0,451.0,311.0,10.0,36.0,five
394,23.1121640034,12.189900788,16.1435210693,20.3214285714,7.35676625659,154.0,8.0,4.0,101.0,90.0,28.0,25.0,5.0,33.0,244.0,303.0,256.0,10.0,28.0,five
395,24.5279803475,12.1237828573,16.7096824507,17.8333333333,7.1214953271,122.0,2.0,0.0,69.0,89.0,18.0,33.0,6.0,32.0,209.0,248.0,176.0,4.0,24.0,five
396,24.7323582077,12.0717615304,16.5125144124,14.8088235294,7.33763654419,247.0,12.0,8.0,136.0,166.0,43.0,64.0,12.0,100.0,409.0,560.0,418.0,29.0,68.0,five
397,23.9040024,11.724631056,16.054757595,17.7352941176,7.29187396352,154.0,14.0,0.0,123.0,112.0,18.0,45.0,9.0,27.0,298.0,337.0,256.0,10.0,34.0,five
398,22.7836142275,11.4293934131,15.5340515642,22.0181818182,7.20231213873,258.0,30.0,4.0,230.0,243.0,27.0,97.0,9.0,59.0,597.0,684.0,500.0,27.0,55.0,five
399,24.4986758332,12.2251277647,16.7092634522,14.3428571429,7.17430278884,233.0,14.0,8.0,109.0,207.0,25.0,81.0,25.0,115.0,422.0,564.0,432.0,8.0,70.0,five
400,23.1192144315,11.755987344,15.9194718586,21.8048780488,6.91722595078,235.0,27.0,12.0,194.0,141.0,14.0,31.0,8.0,19.0,380.0,521.0,364.0,9.0,41.0,five
401,22.839814011,12.0807827201,15.9818517712,23.2093023256,7.249498998,284.0,26.0,16.0,206.0,143.0,21.0,39.0,2.0,26.0,409.0,548.0,430.0,20.0,43.0,five
402,25.0967339147,12.3409091321,16.9856943331,21.8125,7.16905444126,195.0,3.0,1.0,120.0,110.0,26.0,40.0,5.0,56.0,296.0,381.0,314.0,3.0,32.0,five
403,23.4826326956,12.1351152771,16.334523142,21.6285714286,7.33685601057,210.0,25.0,5.0,171.0,116.0,15.0,36.0,5.0,29.0,338.0,393.0,349.0,15.0,35.0,five
404,20.3138432796,10.251937122,14.1116256131,12.8,7.71875,12.0,4.0,2.0,11.0,10.0,2.0,3.0,0.0,0.0,26.0,32.0,28.0,4.0,5.0,five
405,24.1066808056,11.6812457566,16.2446832935,18.4152542373,7.12379199264,512.0,34.0,13.0,299.0,409.0,111.0,165.0,17.0,173.0,984.0,1273.0,876.0,24.0,118.0,five
406,23.1022859129,12.3730278011,16.0841436856,21.1739130435,7.56673511294,278.0,40.0,20.0,186.0,127.0,29.0,39.0,6.0,17.0,381.0,472.0,478.0,24.0,46.0,five
407,23.9760088878,12.4320995623,16.1770316641,25.2608695652,7.26333907057,197.0,8.0,3.0,130.0,78.0,24.0,32.0,17.0,8.0,264.0,323.0,249.0,9.0,23.0,five
408,24.3665138354,11.7376643742,16.4075098959,23.625,7.23053665911,327.0,15.0,7.0,157.0,237.0,41.0,99.0,20.0,154.0,534.0,771.0,527.0,25.0,56.0,five
409,23.9730329795,12.2924018378,16.2954056752,22.2941176471,7.26121372032,195.0,13.0,3.0,117.0,129.0,27.0,36.0,12.0,47.0,309.0,393.0,351.0,14.0,34.0,five
410,23.3388583676,11.4580076224,15.8697910594,11.3555555556,6.90802348337,117.0,13.0,2.0,110.0,101.0,16.0,19.0,3.0,22.0,246.0,311.0,191.0,9.0,45.0,five
411,24.3990548081,11.7799770078,16.2852649459,14.7083333333,6.89660056657,158.0,13.0,3.0,108.0,125.0,19.0,46.0,5.0,79.0,298.0,444.0,252.0,10.0,48.0,five
412,24.9397385668,12.3384753279,16.9742410132,18.56,7.02586206897,121.0,4.0,6.0,78.0,72.0,16.0,29.0,1.0,39.0,195.0,266.0,192.0,6.0,25.0,five
413,25.7904663566,12.1884406672,16.9825964689,23.1666666667,6.87050359712,137.0,7.0,1.0,61.0,114.0,6.0,31.0,14.0,76.0,212.0,346.0,205.0,5.0,24.0,five
414,24.1024752454,12.428547892,16.5176845316,26.9705882353,7.4427480916,255.0,14.0,9.0,171.0,130.0,38.0,46.0,14.0,43.0,385.0,469.0,422.0,26.0,34.0,five
415,23.8840804234,11.7628297337,15.9467567835,19.1132075472,7.39684106614,263.0,13.0,6.0,200.0,184.0,29.0,65.0,6.0,64.0,478.0,538.0,441.0,34.0,53.0,five
416,23.2978459108,11.6798080423,15.7779866576,17.1029411765,7.54170249355,278.0,51.0,1.0,195.0,246.0,25.0,72.0,7.0,64.0,538.0,595.0,542.0,26.0,68.0,five
417,24.2691303023,12.0334929118,16.4009313496,22.0350877193,7.15047770701,307.0,35.0,8.0,243.0,217.0,32.0,50.0,17.0,48.0,542.0,682.0,559.0,15.0,57.0,five
418,24.1918796349,11.6331144541,16.2954749694,24.0303030303,7.17150063052,199.0,4.0,4.0,148.0,127.0,45.0,55.0,13.0,22.0,375.0,438.0,314.0,41.0,33.0,five
419,24.0715421584,12.3717627003,16.6887074511,20.9473684211,7.12814070352,206.0,23.0,8.0,118.0,124.0,14.0,39.0,10.0,56.0,295.0,456.0,323.0,17.0,38.0,five
420,23.4319044179,11.6694117906,16.0690002017,21.7111111111,7.20266120778,221.0,26.0,6.0,196.0,176.0,31.0,75.0,6.0,44.0,478.0,511.0,451.0,15.0,45.0,five
